,Algeria,Bahrain,China,Comoros,Djibouti,Egypt,France,Germany,Great Britain,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Libya,Mauritania,Morocco,Oman,Palestinian Authority,Qatar,Russia,Saudi Arabia,Somalia,Sudan,Syria,Tunisia,Turkey,United Arab Emirates,United States,Yemen
Algeria,0,2,5,0,0,4,309,13,18,1,4,0,2,0,1,0,0,1,0,0,0,2,18,0,0,1,4,5,7,55,0
Bahrain,2,0,23,0,0,28,12,10,74,4,7,3,9,14,4,4,0,0,3,0,1,6,20,0,2,1,6,9,10,228,0
China,5,23,0,0,0,116,2170,3171,5237,162,21,309,38,15,12,1,0,57,2,0,90,668,389,0,16,3,13,362,52,38876,1
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,4,28,116,0,0,0,114,338,422,57,11,19,28,64,38,13,0,4,28,0,72,45,1286,0,5,11,11,129,65,1017,33
France,309,12,2170,0,0,114,0,6745,7357,255,11,714,25,10,277,0,2,117,18,0,45,1284,260,0,5,28,629,512,85,13966,6
Germany,13,10,3171,0,0,338,6745,0,10797,430,20,1288,88,16,45,3,0,62,21,0,61,2203,379,1,13,15,26,837,78,22500,4
Great Britain,18,74,5237,0,0,422,7357,10797,0,601,73,1037,114,60,122,19,1,58,66,0,111,1307,610,2,23,34,35,878,222,29612,5
Iran,1,4,162,0,0,57,255,430,601,0,14,14,18,13,15,0,0,1,7,0,28,57,136,0,2,7,8,244,25,1814,0
Iraq,4,7,21,0,0,11,11,20,73,14,0,3,15,2,1,2,0,0,8,0,4,4,12,0,1,2,1,19,11,77,4
Israel,0,3,309,0,0,19,714,1288,1037,14,3,0,10,4,9,0,0,55,1,0,8,278,13,0,1,5,1,143,13,4448,0
Jordan,2,9,38,0,0,28,25,88,114,18,15,10,0,5,8,3,0,0,12,0,9,4,119,0,2,5,2,10,31,294,6
Kuwait,0,14,15,0,0,64,10,16,60,13,2,4,5,0,7,0,0,0,0,0,5,0,21,0,0,3,6,11,11,154,1
Lebanon,1,4,12,0,0,38,277,45,122,15,1,9,8,7,0,0,0,1,6,0,15,12,31,0,0,9,4,22,20,423,1
Libya,0,4,1,0,0,13,0,3,19,0,2,0,3,0,0,0,0,0,3,0,1,0,5,0,0,0,1,1,3,13,0
Mauritania,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Morocco,1,0,57,0,0,4,117,62,58,1,0,55,0,0,1,0,0,0,1,0,0,56,4,0,0,0,4,57,2,72,1
Oman,0,3,2,0,0,28,18,21,66,7,8,1,12,0,6,3,0,1,0,0,8,5,35,0,3,0,5,3,24,76,1
Palestinian Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,1,90,0,0,72,45,61,111,28,4,8,9,5,15,1,0,0,8,0,0,7,83,0,2,3,14,21,23,472,2
Russia,2,6,668,0,0,45,1284,2203,1307,57,4,278,4,0,12,0,0,56,5,0,7,0,46,0,0,0,1,294,12,3190,0
Saudi Arabia,18,20,389,0,0,1286,260,379,610,136,12,13,119,21,31,5,0,4,35,0,83,46,0,0,50,7,86,290,60,1674,27
Somalia,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sudan,0,2,16,0,0,5,5,13,23,2,1,1,2,0,0,0,0,0,3,0,2,0,50,0,0,0,0,2,3,24,3
Syria,1,1,3,0,0,11,28,15,34,7,2,5,5,3,9,0,0,0,0,0,3,0,7,0,0,0,2,6,0,51,3
Tunisia,4,6,13,0,0,11,629,26,35,8,1,1,2,6,4,1,1,4,5,0,14,1,86,0,0,2,0,17,10,108,1
Turkey,5,9,362,0,0,129,512,837,878,244,19,143,10,11,22,1,0,57,3,0,21,294,290,0,2,6,17,0,23,2464,2
United Arab Emirates,7,10,52,0,0,65,85,78,222,25,11,13,31,11,20,3,0,2,24,0,23,12,60,0,3,0,10,23,0,556,4
United States,55,228,38876,0,0,1017,13966,22500,29612,1814,77,4448,294,154,423,13,1,72,76,0,472,3190,1674,1,24,51,108,2464,556,0,20
Yemen,0,0,1,0,0,33,6,4,5,0,4,0,6,1,1,0,0,1,1,0,2,0,27,0,3,3,1,2,4,20,0
Absolute #Papers,1547,1138,461381,0,0,12058,116775,177104,207593,44579,1432,20268,2868,1114,1951,187,10,564,1063,0,1650,38812,12233,6,580,389,2836,31883,4201,888631,221
